code,author,sample_id
"int main()
{
    int i;
    int childpid;
    int status;
    char buf[BUFSIZ];
    char prompt[16] = ""prompt> "";
    char **ap, *argv[10], *inputstring;
    printf(""%s"", prompt);
    while (fgets(buf, BUFSIZ, stdin) != NULL) {
        buf[strlen(buf) - 1] = '\0'; 
        inputstring = buf;
        
        for (ap = argv; (*ap = strsep(&inputstring, "" \t"")) != NULL;)
            if (**ap != '\0')
                if (++ap >= &argv[10])
                    break;
        
        
        if ((childpid = fork()) == 0) {
            
            execv(argv[0], argv);
            sleep(30); 
            exit(0);
        } else {
            wait(&status);
            printf(""%04x\n"", status); 
        }
        printf(""%s"", prompt);
    }
}",3,11
"int main()
{
    int i;
    int childpid;
    int status;
    char buf[BUFSIZ];
    char prompt[16] = ""prompt> "";
    char **ap, *argv[10], *inputstring;
    printf(""%s"", prompt);
    while (fgets(buf, BUFSIZ, stdin) != NULL) {
        buf[strlen(buf) - 1] = '\0'; 
        inputstring = buf;
        
        for (ap = argv; (*ap = strsep(&inputstring, "" \t"")) != NULL;)
            if (**ap != '\0')
                if (++ap >= &argv[10])
                    break;
        
        
        if ((childpid = fork()) == 0) {
            
            execv(argv[0], argv);
            exit(0);
        } else {
            wait(&status);
        }
        printf(""%s"", prompt);
    }
}",3,12
"int main()
{

while(1){
    int i, originalNum, num, lastDigit, sum;
    long fact;

    
    printf(""Enter any number to check Strong number: "");
    scanf(""%d"", &num);

    
    originalNum = num;

    sum = 0;

    
    while(num > 0)
    {

        
        lastDigit = num % 10;

        
        fact = 1;
        for(i=1; i<=lastDigit; i++)
        {
            fact = fact * i;
        }

        
        sum = sum + fact;

        num = num / 10;
    }

    
    if(sum == originalNum)
    {
        printf(""%d is STRONG NUMBER\n"", originalNum);
    }
    else
    {
        printf(""%d is NOT STRONG NUMBER\n"", originalNum);
    }

}
}",4,13
"int f[50],i,k,j,inde[50],n,c,count=0,p;
main(){

for(i=0;i<50;i++)
f[i]=0;
x:
printf(""enter index block\t"");
scanf(""%d"",&p);
if(f[p]==0)
{
f[p]=1;
printf(""enter no of files on index\t"");
scanf(""%d"",&n);
}
else
{
printf(""Block already allocated\n"");
goto x;
}
for(i=0;i<n;i++)
scanf(""%d"",&inde[i]);
for(i=0;i<n;i++)
if(f[inde[i]]==1)
{
printf(""Block already allocated"");
goto x;
}
for(j=0;j<n;j++)
f[inde[j]]=1;
printf(""\n allocated"");
printf(""\n file indexed"");
for(k=0;k<n;k++)
printf(""\n %d->%d:%d"",p,inde[k],f[inde[k]]);
printf("" Enter 1 to enter more files and 0 to exit\t"");
scanf(""%d"",&c);
if(c==1)
goto x;
else
close();
getch();
}
",5,14
"int f[50],i,k,j,inde[50],n,c,count=0,p;
main(){

for(i=0;i<50;i++)
f[i]=0;
x:
printf(""\nEnter index block:\t"");
scanf(""%d"",&p);
if(f[p]==0){
f[p]=1;
printf(""\nEnter no of files on index:\t"");
scanf(""%d"",&n);
}
else
{
printf(""\nBlock already allocated\n"");
goto x;
}
for(i=0;i<n;i++)
scanf(""%d"",&inde[i]);
for(i=0;i<n;i++)
if(f[inde[i]]==1){
printf(""\nBlock already allocated"");
goto x;
}
for(j=0;j<n;j++)
f[inde[j]]=1;
printf(""\nAllocated"");
printf(""\nFile indexed"");
for(k=0;k<n;k++)
printf(""\n%d->%d:%d"",p,inde[k],f[inde[k]]);
printf(""\nEnter 1 to enter more files and 0 to exit:\t"");
scanf(""%d"",&c);
if(c==1)
goto x;
else
close();
getch();
}
",5,15
"int main()
{
    int A[3][3],B[3][3],AB[3][3]={{0,0,0},{0,0,0},{0,0,0}};
    int ii,row,col;
    printf(""Enter a 3*3 matrix A row wise."");

    for (ii = 0; ii < 3; ii++)
    {
        printf(""\nRow %d >>> "",ii + 1);
        scanf(""%d %d %d"",(*(A + ii)+0),(*(A + ii)+1),(*(A +ii)+2));
    }
    printf(""The matrix is A =\n\n"");
    for (ii = 0;ii < 3; ii++)
        printf(""\t%d\t%d\t%d\n"",*(*(A + ii)+0),*(*(A + ii)+1),*(*(A +ii)+2));
    printf(""Enter a 3*3 matrix B row wise."");

    for (ii = 0; ii < 3; ii++)
    {
        printf(""\nRow %d >>> "",ii + 1);
        scanf(""%d %d %d"",(*(B + ii)+0),(*(B + ii)+1),(*(B +ii)+2));
    }
    printf(""The matrix is B =\n\n"");
    for (ii = 0;ii < 3; ii++)
        printf(""\t%d\t%d\t%d\n"",*(*(B + ii)+0),*(*(B + ii)+1),*(*(B +ii)+2));

    for (row=0;row<3;row++)
    {
        for (col=0;col<3;col++)
        {
            for (ii=0;ii<3;ii++)
            {
                *(*(AB+row)+col) += *(*(A+row)+ii) * *(*(B+ii)+col);
            }
        }
    }
    printf(""The matrix is AB =\n\n"");
    for (ii = 0;ii < 3; ii++)
        printf(""\t%d\t%d\t%d\n"",*(*(AB + ii)+0),*(*(AB + ii)+1),*(*(AB +ii)+2));
}
",6,16
"#define MAX 20

struct NAME {
    char fname[MAX];
    char mname[MAX];
    char lname[MAX];
};

struct DOB {
    int DD;
    int MM;
    int YYYY;
};

struct student {
    struct NAME name;
    int roll;
    struct DOB dob;
};

int main(void) {
    struct student stud[3];
   
    for (int i = 0; i < 3; i++) {
        printf(""\nEnter First name - middle name - last name: "");
        scanf(""%s %s %s"", stud[i].name.fname, 
                stud[i].name.mname,
                stud[i].name.lname);

        printf(""\nEnter Roll no.: "");
        scanf(""%d"", &stud[i].roll);

        printf(""\nEnter DOB in form DD - MM - YY: "");
        scanf(""%d %d %d"", &stud[i].dob.DD, &stud[i].dob.MM, &stud[i].dob.YYYY);        
    }

    for (int i = 0; i < 3; i++) {
        printf(""NAME = %s %s %s\n"", 
                (stud+i)->name.fname, 
                (stud+i)->name.mname, 
                (stud+i)->name.lname);
        printf(""ROLL = %d\n"",(stud+i)->roll);
        printf(""DOB  = %2d/%2d/%4d\n"",
                ((stud+i)->dob).DD, 
                ((stud+i)->dob).MM, 
                ((stud+i)->dob).YYYY);
        printf(""\n"");
    }
    
    return 0;
}
",6,17
"#include ""shell.h""


int path_cmd(char **cmd)
{
    char *path, *value, *cmd_path;
    struct stat buf;

    path = _getenv(""PATH"");
    value = _strtok(path, "":"");
    while (value != NULL)
    {
        cmd_path = build(*cmd, value);
        if (stat(cmd_path, &buf) == 0)
        {
            *cmd = _strdup(cmd_path);
            free(cmd_path);
            free(path);
            return (0);
        }
        free(cmd_path);
        value = _strtok(NULL, "":"");
    }
    free(path);

    return (1);
}

char *build(char *token, char *value)
{
    char *cmd;
    size_t len;

    len = _strlen(value) + _strlen(token) + 2;
    cmd = malloc(sizeof(char) * len);
    if (cmd == NULL)
    {
        return (NULL);
    }

    memset(cmd, 0, len);

    cmd = _strcat(cmd, value);
    cmd = _strcat(cmd, ""/"");
    cmd = _strcat(cmd, token);

    return (cmd);
}

char *_getenv(char *name)
{
    size_t nl, vl;
    char *value;
    int i, x, j;

    nl = _strlen(name);
    for (i = 0 ; environ[i]; i++)
    {
        if (_strncmp(name, environ[i], nl) == 0)
        {
            vl = _strlen(environ[i]) - nl;
            value = malloc(sizeof(char) * vl);
            if (!value)
            {
                free(value);
                perror(""unable to alloc"");
                return (NULL);
            }

            j = 0;
            for (x = nl + 1; environ[i][x]; x++, j++)
            {
                value[j] = environ[i][x];
            }
            value[j] = '\0';

            return (value);
        }
    }

    return (NULL);
}
",7,18
"#define GIVE 0
#define TAKE 1

int main()
{
     int     shmid;
     void* shmptr;
     
    const int SIZE=4096;
    const char* name=""vowels"";
      shmid=shm_open(name,O_CREAT|O_RDWR,0666);
      ftruncate(shmid,SIZE);
      shmptr=mmap(0,SIZE,PROT_WRITE,MAP_SHARED,shmid,0);
      printf(""inside client\n"");
      
     
      printf(""the word count  is:\n"");
      
      puts(shmptr);
      printf(""the character count  is:\n"");
      shmptr+=sizeof(int);
      puts(shmptr);
      shm_unlink(name);
      return 0;
}",8,19
"#define SI 10

int sum_of_num(int array[],int n);
float average_of_num(int sum,int n);
float product_of_num(int array[],int n);

int i;



int main()
{
    int array[SI],n=0,sum;
    float product,average;
    printf(""enter the array elements\n"");
    while(array[i]!=999)
    {
    for(i=0;i<SI;i++)
    {
        scanf(""%d"",&array[i]);
        n=i;
        if(array[i]==999)
        break;

    }
    }
    sum=sum_of_num(array,n);
    printf(""the sum of number is %d\n"",sum);
    average=average_of_num(sum,n);
    printf(""the average is %f\n"",average);
    product=product_of_num(array,n);
    printf(""product of number is %f"",product);
    return 0;
}



int sum_of_num(int array[],int n)
{
    int sum=0;
    for(i=0;i<n;i++)
    {
        sum+=array[i];
    }
    return sum;
}



float average_of_num(int sum,int n)
{
    float average=0;
    average=sum/n;
    return average;
}



float product_of_num(int array[],int n)
{
    float product=1;
    for(i=0;i<n;i++)
    {
        product*=array[i];
    }
    return product;
}
",8,20
"#define FILE_SIZE 100

int read_lines(char s[FILE_SIZE]);
int read_char();
char s[FILE_SIZE];
int main()
{
    FILE *f;
    int pid,c_cnt,fd[2];
    pipe(fd);
    printf(""enter the source file path\n"");
    scanf(""%s"",s);
    
    pid=fork();
    if(pid==0)
    {
        int c_cnt=0;
        printf(""------inside the child process--------\n"");
        close(fd[0]);
        c_cnt=read_char();
        printf(""readed the character\n"");
        printf(""character :%d\n"",c_cnt);
        write(fd[1],&c_cnt,sizeof(c_cnt));
        close(fd[1]);
    }
    else
    {
        wait(NULL);
        
        printf(""-----back to parent process-----\n"");
        int cnt;
        read_lines(s);
        close(fd[1]);
        read(fd[0],&cnt,sizeof(cnt));
        printf(""The count of character in the file is :%d\n"",cnt);
        close(fd[0]);
    }
    
    return 0;
}

int read_char()
{
    FILE *f;
    int character=0;
    char ch;
    f=fopen(s,""r"");
    if (f == NULL) 
    { 
        printf(""Could not open file""); 
        return 0; 
    }
    while ((ch = fgetc(f)) != EOF)
    {
        if (ch != ' ' || ch != '\t' || ch != '\n' || ch != '\0'|| ch!='.')
        character++;
    }
    return(character);
}



int read_lines(char s[FILE_SIZE])
{
    FILE *f;
    int words;
    char ch;
    f=fopen(s,""r"");
    if (f == NULL) 
    { 
        printf(""Could not open file""); 
        return 0; 
    }
    words = 0;
    while ((ch = fgetc(f)) != EOF)
    {
        

        
        if (ch == ' ' || ch == '\t' || ch == '\n' || ch == '\0'|| ch=='.')
            words++;
    }
    
    printf(""\tthe number of words are :%d\n"",words);    
    fclose(f);
    return (1);
}
    ",8,21
"#include ""get_next_line.h""

int     str_is_digits(char *c)
{
    int i;

    i = 0;
    if (!c)
        return (0);
    while (c[i])
    {
        if (!ft_isdigit(c[i]))
            return (0);
        i++;
    }
    return (1);
}

int     array_is_rgb(char **colors)
{
    int i;

    i = 0;
    while (colors[i])
    {
        if (str_is_digits(colors[i]))
        {
            if (!(atoi(colors[i]) <= 255) || !(atoi(colors[i]) >= 0))
            {
                ft_putstr(""Error\n Wrong colors parametres!"");
                exit(0);
            }
        }
        else
            return (0);
        i++;
    }
    return (1);
}

void    get_s(char *line)
{
    char    **par;
    char    *str;
    int     re;

    re = 0;
    par = ft_split(line, ' ');
    str = ft_strdup("""");
    if (g_s != NULL)
        texture_error(0);
    if (c_w(line, ' ') != 2)
    {
        while (++re < c_w(line, ' '))
        {
            str = ft_strjoin(str, &par[re][0]);
            if (re != c_w(line, ' ') - 1)
                str = ft_strjoin(str, "" "");
        }
        if ((re = open(str, O_RDONLY) < 0))
            texture_error(5);
        else
            g_s = ft_strdup(str);
    }
    else
        wrong_file(&par[1][0], 5);
    free_this_shit(str, par);
}

void    get_f(char *line)
{
    char    **par;
    char    **colors;
    int     cc;
    int     cw;

    cw = 0;
    par = ft_split(line, ' ');
    cc = 0;
    colors = ft_split(&par[1][0], ',');
    while (line[cc])
    {
        if (line[cc] == ',')
            cw++;
        cc++;
    }
    if (cw != 2)
    {
        ft_putstr(""Error:\n Wrong floor RGB"");
        exit(0);
    }
    cw = c_w(line, ' ');
    cc = c_w(&par[1][0], ',');
    freethenipples(par);
    check_frgb(colors, cc, cw);
    freethenipples(colors);
}

void    get_c(char *line)
{
    char    **par;
    char    **colors;
    int     cc;
    int     cw;

    cw = 0;
    par = ft_split(line, ' ');
    cc = 0;
    colors = ft_split(&par[1][0], ',');
    while (line[cc])
    {
        if (line[cc] == ',')
            cw++;
        cc++;
    }
    if (cw != 2)
    {
        ft_putstr(""Error:\n Wrong ceiling RGB"");
        exit(0);
    }
    cw = c_w(line, ' ');
    cc = c_w(&par[1][0], ',');
    freethenipples(par);
    check_crgb(colors, cc, cw);
    freethenipples(colors);
}
",9,22
"#include ""get_next_line.h""


int     readline(void)
{
    int     fd;
    char    *line;

    fd = open(""map.cub"", O_RDONLY);
    global_init();
    while (get_next_line(fd, &line))
    {
        if (!all_params())
        {
            if (*line != '\0')
                routing(line);
        }
        else
            routing(line);
        free(line);
    }
    free(line);
    return (0);
}

void    routing(char *line)
{
    if (line[0] == 'R' && line[1] == ' ')
        get_re(line);
    else if (line[0] == 'N' && line[1] == 'O' && line[2] == ' ')
        get_no(line);
    else if (line[0] == 'S' && line[1] == 'O' && line[2] == ' ')
        get_so(line);
    else if (line[0] == 'W' && line[1] == 'E' && line[2] == ' ')
        get_we(line);
    else if (line[0] == 'E' && line[1] == 'A' && line[2] == ' ')
        get_ea(line);
    else if (line[0] == 'S' && line[1] == ' ')
        get_s(line);
    else if (line[0] == 'F' && line[1] == ' ')
        get_f(line);
    else if (line[0] == 'C' && line[1] == ' ')
        get_c(line);
    else if (all_params())
        readmap(line);
    else
    {
        ft_putstr(""one or many parametres format is wrong or missing!\n"");
        exit(0);
    }
}

int     main(void)
{
    char **ugh;
    int a;
    readline();
    manage_map();
    longuest_line();
    array_height();
    ugh = map_manager();
    g_vars.mlx = mlx_init();
    g_vars.win = mlx_new_window(g_vars.mlx, g_width, g_height, ""Bismilah!"");
    
    
    freethenipples(ugh);
    mlx_loop_hook(g_vars.mlx, move, 0);
    mlx_loop(g_vars.mlx);
}
",9,23
