code,author
"int main() {
  int T;
  freopen(""C-small-attempt1.in"", ""r"", stdin);
  freopen(""output.txt"", ""w"", stdout);

  scanf(""%d"", &T);

  for (int testCase = 1; testCase <= T; testCase++) {
    int N, Q;

    scanf(""%d %d"", &N, &Q);

    pair<long long, long long> horses[101];

    for (int i = 0; i < N; i++) {
      scanf(""%lld %lld"", &horses[i].first, &horses[i].second);
    }

    long long adj[101][101];

    for (int i = 0; i < N; i++) {
      for (int j = 0; j < N; j++) {
        scanf(""%lld"", &adj[i][j]);
      }
    }

    int S, E;
    scanf(""%d %d"", &S, &E);
    S--;
    E--;

    double dist[101];
    fill(dist, dist + 101, 987654321654897123LL);

    dist[S] = 0;

    for (int s = S; s < E; s++) {
      long long d = 0;
      for (int e = s + 1; e <= E; e++) {
        d += adj[e - 1][e];
        if (d <= horses[s].first) {
          dist[e] = min(dist[e], dist[s] + d / (double)horses[s].second);
        }
      }
    }

    printf(""Case #%d: "", testCase);
    printf(""%.6lf\n"", dist[E]);
  }

  return 0;
}
",94
"

int main() {

  ios_base::sync_with_stdio(false);
  cin.tie(NULL);
  cout.tie(NULL);
  ;
  freopen(""inp.txt"", ""r"", stdin);
  freopen(""out.txt"", ""w"", stdout);
  long long t;
  cin >> t;
  for (long long ccr = 1; ccr <= t; ++ccr) {

    long long n, k, val1, val2;
    cin >> n >> k;
    priority_queue<long long, vector<long long>, less<long long>> pq;
    pq.push(n);
    while (k--) {
      long long val = pq.top();
      pq.pop();
      val1 = val2 = val / 2;
      if (val % 2 == 0) {
        --val2;
      }
      pq.push(val1);
      pq.push(val2);
    }

    cout << ""Case #"" << ccr << "": "" << val1 << "" "" << val2 << ""\n"";
  }
  return 0;
}
",96
"//    0   1   2
int N, R, O, Y, G, B, V;
int s[2000];
int main(void) {
  int t;
  scanf(""%d"", &t);
  for (int tt = 1; tt <= t; tt++) {
    scanf(""%d%d%d%d%d%d%d"", &N, &R, &O, &Y, &G, &B, &V);

    printf(""Case #%d: "", tt);

    if (O > B || G > R || V > Y) {
      puts(""IMPOSSIBLE"");
      continue;
    }

    if (O == B && O > 0) {
      if (O + B < N) {
        puts(""IMPOSSIBLE"");
      } else {
        for (; O > 0; --O)
          printf(""OB"");
        puts("""");
      }
      continue;
    }
    if (G == R && G > 0) {
      if (G + R < N) {
        puts(""IMPOSSIBLE"");
      } else {
        for (; G > 0; --G)
          printf(""RG"");
        puts("""");
      }
      continue;
    }
    if (Y == V && V > 0) {
      if (Y + V < N) {
        puts(""IMPOSSIBLE"");
      } else {
        for (; V > 0; --V)
          printf(""YV"");
        puts("""");
      }
      continue;
    }

    B -= O;
    R -= G;
    Y -= V;
    int m = B + R + Y;
    if (B > R + Y || R > B + Y || Y > B + R) {
      puts(""IMPOSSIBLE"");
      continue;
    }
    memset(s, -1, sizeof(s));

    int maxc = 0, c = R, c2 = Y, mc2 = 1, mc3 = 2;
    if (B > R && B > Y)
      maxc = 2, c = B, mc3 = 0;
    if (Y > B && Y > R)
      maxc = 1, c = Y, c2 = R, mc2 = 0;
    // printf(""%d %d\n"",c,c2);
    // printf(""%d %d %d\n"",maxc,mc2,mc3);

    for (int i = 0; i < c; i++) {
      s[i * 2] = maxc;
    }
    for (int i = m - 1 - (m % 2), j = 0; j < c2; i -= 2, ++j) {
      s[i] = mc2;
    }
    for (int i = 0; i < m; i++) {
      if (s[i] < 0)
        s[i] = mc3;
    }

    for (int i = 0; i < m; i++) {
      if (s[i] == 0) {
        printf(""R"");
        for (; G > 0; --G)
          printf(""GR"");
        // printf(G>0?""RGR"":""R"");
        // --G;
      } else if (s[i] == 1) {
        printf(""Y"");
        for (; V > 0; --V)
          printf(""VY"");
        // printf(V>0?""YVY"":""Y"");
        // --V;
      } else {
        printf(""B"");
        for (; O > 0; --O)
          printf(""OB"");
        // printf(O>0?""BOB"":""B"");
        // --O;
      }
    }
    puts("""");
    // for(int i=0;i<m;++i)
    //   printf(""%d"",s[i]);
    // puts("""");
  }
  return 0;
}
",99
"
#pragma comment(linker, ""/STACK:100000000000"")
typedef long long ll;
typedef unsigned long long ull;
typedef long double lld;
typedef pair<int, int> PII;
typedef pair<ll, ll> PLL;
typedef vector<int> VI;
typedef vector<string> VS;
typedef vector<double> VD;

PLL divideme(ll n) {
  n--;
  ll k1 = n / 2;
  ll k2 = n - k1;
  return PLL(min(k1, k2), max(k1, k2));
}
bool comp(const pair<PLL, ll> &a, const pair<PLL, ll> &b) {
  return (a.first.first < b.first.first ||
          a.first.first == b.first.first && a.first.second > b.first.second);
}

int main() {
  freopen(""a.in"", ""r"", stdin);
  freopen(""a.out"", ""w"", stdout);
  int Tcas;
  cin >> Tcas;
  for (int(cas) = 0; (cas) < (Tcas); (cas)++) {
    printf(""Case #%d: "", cas + 1);
    ll n, k;
    cin >> n >> k;
    ll two = 1;
    map<PLL, ll> mp;
    mp[divideme(n)] = 1;
    vector<pair<PLL, ll>> res;
    ll freeSlot = 1;
    while (freeSlot < k) {
      two <<= 1;
      freeSlot += two;
      map<PLL, ll> temp;
      for (map<PLL, ll>::iterator it = mp.begin(); it != mp.end(); ++it) {
        PLL p1 = divideme(it->first.first);
        PLL p2 = divideme(it->first.second);
        if (temp.find(p1) == temp.end())
          temp[p1] = 0;
        if (temp.find(p2) == temp.end())
          temp[p2] = 0;
        temp[p1] += it->second;
        temp[p2] += it->second;
      }
      mp = temp;
      if (freeSlot >= k) {
        k = k - (freeSlot - two);
        break;
      }
    }
    for (map<PLL, ll>::iterator it = mp.begin(); it != mp.end(); ++it)
      res.push_back(*it);
    sort((res).begin(), (res).end());
    reverse((res).begin(), (res).end());
    for (int(i) = 0; (i) < (res.size()); (i)++) {
      if (k <= res[i].second) {
        cout << res[i].first.second << "" "" << res[i].first.first << endl;
        break;
      } else
        k -= res[i].second;
    }
  }
}
",104
"int getMin(int RYB[3]) {
  int minValue = INT_MAX;
  int minIndex = -1;
  for (int i = 0; i < 3; i++) {
    if ((RYB[i] < minValue) && (RYB[i] != 0)) {
      minIndex = i;
      minValue = RYB[i];
    }
  }
  return minIndex;
}

int getMax(int RYB[3], int avoid, int preference) {
  int maxIndex = -1;
  int maxValue = 0;
  if ((preference != avoid) && (RYB[preference] != 0)) {
    maxIndex = preference;
    maxValue = RYB[preference];
  }
  for (int i = 0; i < 3; i++) {
    if (i == avoid)
      continue;
    if (RYB[i] > maxValue) {
      maxIndex = i;
      maxValue = RYB[i];
    }
  }
  return maxIndex;
}

int main() {
  int tests;
  cin >> tests;
  for (int t = 0; t < tests; t++) {
    int N, R, O, Y, G, B, V;
    cin >> N >> R >> O >> Y >> G >> B >> V;
    int RYB[3] = {R, Y, B};
    char RYB_char[3] = {'R', 'Y', 'B'};
    vector<char> solution;
    int minIndex = getMin(RYB);
    RYB[minIndex]--;
    solution.push_back(RYB_char[minIndex]);
    int lastSelected = minIndex;
    for (int i = 1; i < N; i++) {
      int maxIndex = getMax(RYB, lastSelected, minIndex);
      if (maxIndex == -1)
        break;
      RYB[maxIndex]--;
      solution.push_back(RYB_char[maxIndex]);
      lastSelected = maxIndex;
    }
    if (solution.size() == N) {
      cout << ""Case #"" << (t + 1) << "": "";
      for (int i = 0; i < solution.size(); i++) {
        cout << solution[i];
      }
      cout << endl;
    } else {
      cout << ""Case #"" << (t + 1) << "": IMPOSSIBLE"" << endl;
    }
  }
}
",119
"typedef long long ll;
typedef pair<ll, ll> pll;
typedef pair<int, int> pii;

const int MAXN = 1 * 1000 + 10;

int e[MAXN], s[MAXN];
int d[MAXN][MAXN];
int qx[MAXN], qy[MAXN];
double dp[MAXN];

int main() {
  ios::sync_with_stdio(false);

  int tt;
  cin >> tt;
  for (int tc = 1; tc <= tt; tc++) {
    cout << ""Case #"" << tc << "": "";

    int n, q;
    cin >> n >> q;
    for (int i = 0; i < n; i++)
      cin >> e[i] >> s[i];
    for (int i = 0; i < n; i++)
      for (int j = 0; j < n; j++)
        cin >> d[i][j];
    for (int i = 0; i < q; i++)
      cin >> qx[i] >> qy[i];

    dp[0] = 0;
    for (int i = 1; i < n; i++)
      dp[i] = 1e15;

    for (int i = 0; i < n; i++) {
      int cur = 0;
      for (int j = i + 1; j < n; j++) {
        cur += d[j - 1][j];
        if (cur > e[i])
          break;

        dp[j] = min(dp[j], dp[i] + (double)cur / (double)s[i]);
      }
    }
    cout << fixed << setprecision(6) << dp[n - 1] << endl;
  }
  return 0;
}
",157
"typedef long long ll;
typedef long long LL;
typedef pair<int, int> ii;
typedef vector<ii> vii;
typedef vector<int> vi;
typedef pair<ii, int> iii;
void open() {
  freopen(""D:/OneDrive/Code/GCJ/C-small-attempt1 (1).in"", ""r"", stdin);
  freopen(""D:/OneDrive/Code/GCJ/out22.txt"", ""w"", stdout);
}
int n, q, fr, to;
int energy[120];
int spd[120];
int dist[120][120];
map<iii, double> memo;

double dp(int idx, int pony, int left) {
  iii z = make_pair(ii(idx, pony), left);
  if (idx == to)
    return 0;
  if (memo.find(z) != memo.end() && memo[z] < 1e12)
    return memo[z];

  double ans = 1e12;

  if (dist[idx][idx + 1] <= left) {
    ans = min(dp(idx + 1, pony, left - dist[idx][idx + 1]) +
                  1.0 * dist[idx][idx + 1] / spd[pony],
              ans);
  }

  if (dist[idx][idx + 1] <= energy[idx]) {
    ans = min(ans, dp(idx + 1, idx, energy[idx] - dist[idx][idx + 1]) +
                       1.0 * dist[idx][idx + 1] / spd[idx]);
  }
  return memo[z] = ans;
}

int main(void) {
  open();
  int tc;
  scanf(""%d"", &tc);

  for (int ct = 1; ct <= tc; ct++) {
    scanf(""%d"", &n);
    scanf(""%d"", &q);

    for (int i = 0; i < n; i++) {
      scanf(""%d"", &energy[i]);
      scanf(""%d"", &spd[i]);
    }

    for (int i = 0; i < n; i++) {
      for (int j = 0; j < n; j++) {
        scanf(""%d"", &dist[i][j]);
      }
    }

    scanf(""%d"", &fr);
    scanf(""%d"", &to);
    fr--;
    to--;
    memo.clear();

    printf(""Case #%d: %.10lf\n"", ct, dp(0, 0, energy[0]));

    cerr << ""Test "" << ct << "" done \n"";
  }
  return 0;
}
",178
"// Problem B

long long get() {
  char c;
  while (c = getchar(), c != '-' && (c < '0' || c > '9'))
    ;
  bool flag = (c == '-');
  if (flag)
    c = getchar();
  long long x = 0;
  while (c >= '0' && c <= '9') {
    x = x * 10 + c - '0';
    c = getchar();
  }
  return flag ? -x : x;
}

int a[20];

int main() {
  int totalTest = get();
  for (int test = 1; test <= totalTest; test++) {
    long long n = get(), tmp = n;
    int m = 0;
    while (n) {
      a[m++] = n % 10;
      n /= 10;
    }
    printf(""Case #%d: "", test);
    while (true) {
      int p = m - 1;
      while (p && a[p] <= a[p - 1])
        p--;
      if (!p)
        break;
      a[p]--;
      for (int i = 0; i < p; i++)
        a[i] = 9;
    }
    long long ans = 0;
    for (int i = m - 1; i >= 0; i--)
      ans = ans * 10 + a[i];
    cout << ans << endl;
  }
  return 0;
}
",185
"// Hi
long long ans;
long long pows[20];
void solve(long long n, int digLeft, int prevDig, long long cur) {
  if (cur * pows[digLeft] > n)
    return;
  if (ans != 0)
    return;
  if (digLeft == 0) {
    ans = cur;
    return;
  }
  for (int i = 9; i >= prevDig; i--) {
    solve(n, digLeft - 1, i, cur * 10 + i);
  }
}
int main() {
  ios::sync_with_stdio(false);
  freopen(""test.txt"", ""r"", stdin);
  freopen(""test1.txt"", ""w"", stdout);
  // freopen("".out"",""w"",stdout);
  int t;
  cin >> t;
  pows[0] = 1;
  for (int i = 0; i < 19; i++) {
    pows[i + 1] = pows[i] * 10;
  }
  for (int i = 1; i <= t; i++) {
    ans = 0;
    long long n;
    cin >> n;
    int digs = log10(n) + 1;
    solve(n, digs, 0, 0);
    cout << ""Case #"" << i << "": "" << ans << endl;
  }
}
",199
"using LL = long long;
using pii = pair<int, int>;

int T, cas;

int main() {
  freopen(""123.in"", ""r"", stdin);
  freopen(""123.out"", ""w"", stdout);
  cin >> T;
  while (T--) {
    vector<vector<pii>> v;
    vector<int> R;
    int n, p;
    cin >> n >> p;
    for (int i = 0, x; i < n; i++)
      cin >> x, R.push_back(x);
    int mx = p;
    for (int i = 0; i < n; i++) {
      v.push_back(vector<pii>());
      for (int j = 0, x; j < p; j++) {
        cin >> x;
        int a = ceil(1 / 1.1 * x / R[i]), b = floor(1 / 0.9 * x / R[i]);
        // while (1.0 * a * R[i] < 0.9 * x) a ++;
        // while (1.0 * b * R[i] > 1.1 * x) b --;
        // cout << a << "" "" << b << endl;
        if (a <= b)
          v.back().emplace_back(a, b);
      }
      sort(v[i].begin(), v[i].end());
    }
    int ans = 0;
    while (true) {
      int mnv = 0, mxv = 1e9, mnid, mxid, flag = 0;
      for (int i = 0; i < n; i++)
        if (v[i].size()) {
          auto x = v[i].back();
          if (x.first > mnv)
            mnv = x.first, mnid = i;
          if (x.second < mxv)
            mxv = x.second, mxid = i;
        } else
          flag = 1;
      if (flag)
        break;
      // cout << mnv << "" "" << mxv << endl;
      if (mnv <= mxv) {
        ans++;
        for (int i = 0; i < n; i++)
          v[i].pop_back();
      } else {
        v[mnid].pop_back();
      }
    }
    printf(""Case #%d: %d\n"", ++cas, ans);
  }
  return 0;
}
",200
